cast_id,cast_name,gender,movie_id,k_role,is_main_cast,index,id,k_title,k_type,k_release_date,k_region,k_movie_year,k_genres,is_rating,rating_num,rating_people,k_rating_people,rating_index,k_movie_id,k_cast_id,uid,portray,movie_id_m,cast_role_agg,main_cast
27483678,程愫,女,30423905,演员,是,31,30423905,大江大河2,电视剧,2020-12-20,中国大陆,2020,剧情/历史,有评分,8.7,208072,208072,1345,60847859,54967405,88,隋春凤,m60847859,演员,"王凯, 杨烁, 董子健, 杨采钰, 周放"
27206764,董洁,女,35588265,演员,是,3,35588265,樱桃琥珀,电视剧,2025-07-14,中国大陆,2025,剧情/爱情,有评分,5.7,38891,38891,471,71176579,54413577,89,赵盛娟,m71176579,演员,"赵今麦, 张凌赫, 董洁, 保剑锋, 董璇"
27483098,张磊,男,30421903,演员,否,999,30421903,淬火年代,电视剧,2025-06-18,中国大陆,2025,剧情,有评分,7.0,21373,21373,387,60843855,54966245,90,老张,m60843855,演员,"张新成, 宋祖儿, 王彦霖, 任程伟, 张月"
27482821,李坤霖,男,30421903,演员,否,999,30421903,淬火年代,电视剧,2025-06-18,中国大陆,2025,剧情,有评分,7.0,21373,21373,387,60843855,54965691,91,老黄,m60843855,演员,"张新成, 宋祖儿, 王彦霖, 任程伟, 张月"
27495263,王琳,女,30421903,演员,否,999,30421903,淬火年代,电视剧,2025-06-18,中国大陆,2025,剧情,有评分,7.0,21373,21373,387,60843855,54990575,92,柳大姑,m60843855,演员,"张新成, 宋祖儿, 王彦霖, 任程伟, 张月"
27484406,邹廷威,男,30421903,演员,否,999,30421903,淬火年代,电视剧,2025-06-18,中国大陆,2025,剧情,有评分,7.0,21373,21373,387,60843855,54968861,93,董其扬,m60843855,演员,"张新成, 宋祖儿, 王彦霖, 任程伟, 张月"
27495171,洪剑涛,男,30421903,演员,否,999,30421903,淬火年代,电视剧,2025-06-18,中国大陆,2025,剧情,有评分,7.0,21373,21373,387,60843855,54990391,94,安总,m60843855,演员,"张新成, 宋祖儿, 王彦霖, 任程伟, 张月"
27553379,尹昉,男,36571896,演员,是,5,36571896,命悬一生,电视剧,2025-10-11,中国大陆,2025,剧情/悬疑,有评分,7.7,85010,85010,809,73143841,55106807,95,倪向东,m73143841,演员,"黄轩, 李庚希, 张哲华, 白宇帆, 尹昉"
27552839,赵今麦,女,35588265,演员,是,1,35588265,樱桃琥珀,电视剧,2025-07-14,中国大陆,2025,剧情/爱情,有评分,5.7,38891,38891,471,71176579,55105727,96,林其乐,m71176579,演员,"赵今麦, 张凌赫, 董洁, 保剑锋, 董璇"
27552839,赵今麦,女,35332289,演员,是,2,35332289,开端,电视剧,2022-01-11,中国大陆,2022,剧情,有评分,7.9,968506,968506,2766,70664627,55105727,97,李诗情,m70664627,演员,"白敬亭, 赵今麦, 刘奕君, 刘涛, 黄觉"
27504372,周乐,男,26779426,演员,否,999,26779426,欢乐颂3,电视剧,2022-08-11,中国大陆,2022,剧情/爱情,有评分,4.9,41716,41716,452,53558901,55008793,98,,m53558901,演员,"江疏影, 杨采钰, 张佳宁, 张慧雯, 李浩菲"
27504372,周乐,男,26683725,演员,是,55,26683725,外科风云,电视剧,2017-04-17,中国大陆,2017,剧情/爱情,有评分,7.3,94754,94754,832,53367499,55008793,99,唐云龙,m53367499,演员,"靳东, 白百何, 李佳航, 马少骅, 蓝盈莹"
27495839,佟丽娅,女,26665065,演员,是,3,26665065,琅琊榜之风起长林,电视剧,2017-12-18,中国大陆,2017,剧情/古装,有评分,8.4,210088,210088,1328,53330179,54991727,100,蒙浅雪,m53330179,演员,"黄晓明, 刘昊然, 佟丽娅, 张慧雯, 梅婷"
27493400,王玉宁,男,35613241,演员,否,999,35613241,县委大院,电视剧,2022-12-07,中国大陆,2022,剧情,有评分,6.8,109693,109693,864,71226531,54986849,101,油坊老板,m71226531,演员,"胡歌, 吴越, 张新成, 黄磊, 李光洁"
27482823,包贝尔,男,35613241,演员,是,7,35613241,县委大院,电视剧,2022-12-07,中国大陆,2022,剧情,有评分,6.8,109693,109693,864,71226531,54965695,102,小曾,m71226531,演员,"胡歌, 吴越, 张新成, 黄磊, 李光洁"
27483105,高天,男,34792296,演员,是,48,34792296,欢迎光临,电视剧,2022-05-18,中国大陆,2022,剧情/喜剧/爱情,有评分,6.4,56516,56516,601,69584641,54966259,103,年轻郑父,m69584641,演员,"黄轩, 白百何, 朱雨辰, 白宇帆, 丁嘉丽"
27495361,马苏,女,36189205,演员,否,999,36189205,凡人歌,电视剧,2024-08-31,中国大陆,2024,剧情/喜剧,有评分,7.7,77700,77700,773,72378459,54990771,104,白寒宁,m72378459,演员,"殷桃, 王骁, 章若楠, 秦俊杰, 张哲华"
27504226,李光洁,男,36534750,演员,是,2,36534750,小巷人家,电视剧,2024-10-28,中国大陆,2024,剧情/家庭,有评分,8.4,287902,287902,1555,73069549,55008501,105,林武峰,m73069549,演员,"闫妮, 李光洁, 郭晓东, 蒋欣, 范丞丞"
27504226,李光洁,男,35613241,演员,是,5,35613241,县委大院,电视剧,2022-12-07,中国大陆,2022,剧情,有评分,6.8,109693,109693,864,71226531,55008501,106,曹立新,m71226531,演员,"胡歌, 吴越, 张新成, 黄磊, 李光洁"
27504226,李光洁,男,35321446,演员,否,999,35321446,大江大河之岁月如歌,电视剧,2024-01-08,中国大陆,2024,剧情,有评分,8.0,72953,72953,764,70642941,55008501,107,小拉,m70642941,演员,"王凯, 杨烁, 董子健, 杨采钰, 张佳宁"
27504226,李光洁,男,30423905,演员,是,53,30423905,大江大河2,电视剧,2020-12-20,中国大陆,2020,剧情/历史,有评分,8.7,208072,208072,1345,60847859,55008501,108,路小第,m60847859,演员,"王凯, 杨烁, 董子健, 杨采钰, 周放"
27559404,郝光,男,35321446,演员,否,999,35321446,大江大河之岁月如歌,电视剧,2024-01-08,中国大陆,2024,剧情,有评分,8.0,72953,72953,764,70642941,55118857,109,周司长,m70642941,演员,"王凯, 杨烁, 董子健, 杨采钰, 张佳宁"
27559404,郝光,男,30423905,演员,是,29,30423905,大江大河2,电视剧,2020-12-20,中国大陆,2020,剧情/历史,有评分,8.7,208072,208072,1345,60847859,55118857,110,周司长,m60847859,演员,"王凯, 杨烁, 董子健, 杨采钰, 周放"
